Loan Identifier|Loan Correction Indicator|Prefix|Security Identifier|CUSIP|Mortgage Loan Amount|Issuance Investor Loan UPB|Current Investor Loan UPB|Amortization Type|Original Interest Rate|Issuance Interest Rate|Current Interest Rate|Issuance Net Interest Rate|Current Net Interest Rate|First Payment Date|Maturity Date|Loan Term|Remaining Months to Maturity|Loan Age|Loan-To-Value (LTV)|Combined Loan-To-Value (CLTV)|Debt-To-Income (DTI)|Borrower Credit Score|Filler|Filler|Filler|Number of Borrowers|First Time Home Buyer Indicator|Loan Purpose|Occupancy Status|Number of Units|Property Type|Channel|Property State|Seller Name|Servicer Name|Mortgage Insurance Percent|Mortgage Insurance Cancellation Indicator|Government Insured Guarantee|Assumability Indicator|Interest Only Loan Indicator|Interest Only First Principal and Interest Payment Date|Months to Amortization|Prepayment Penalty Indicator|Prepayment Penalty Total Term|Index|Mortgage Margin|MBS PC Margin|Interest Rate Adjustment Frequency|Interest Rate Lookback|Interest Rate Rounding Method|Interest Rate Rounding Method Percent|Convertibility Indicator|Initial Fixed Rate Period|Next Interest Rate Adjustment Date|Months to Next Interest Rate Adjustment Date|Life Ceiling Interest Rate|Life Ceiling Net Interest Rate|Life Floor Interest Rate|Life Floor Net Interest Rate|Initial Interest Rate Cap Up Percent|Initial Interest Rate Cap Down Percent|Periodic Interest Rate Cap Up Percent|Periodic Interest Rate Cap Down Percent|Modification Program|Modification Type|Number of Modifications|Total Capitalized Amount|Interest Bearing Mortgage Loan Amount|Original Deferred Amount|Current Deferred UPB|Loan Age As Of Modification|Estimated Loan-To-Value (ELTV)|Updated Credit Score|Filler|Interest Rate Step Indicator|Initial Step Fixed-Rate Period|Total Number of Steps|Number of Remaining Steps|Next Step Rate|Terminal Step Rate|Terminal Step Date|Step Rate Adjustment Frequency|Next Step Rate Adjustment Date|Months to Next Step Rate Adjustment Date|Periodic Step Cap Up Percent|Origination Mortgage Loan Amount|Origination Interest Rate|Origination Amortization Type|Origination Interest Only Loan Indicator|Origination First Payment Date|Origination Maturity Date|Origination Loan Term|Origination Loan-To-Value (LTV)|Origination Combined Loan-To-Value (CLTV)|Origination Debt-To-Income Ratio|Origination Credit Score|Filler|Filler|Filler|Origination Loan Purpose|Origination Occupancy Status|Origination Channel|Days Delinquent|Loan Performance History|Loan Participation Percent|Property Valuation Method|Alternative Delinquency Resolution|Number of Alternative Delinquency Resolutions|Total Deferral Amount|Borrower Assistance Plan|Seller City|Seller State|Servicer City|Servicer State|Special Eligibility Program
U90133000089|No|U9|U90133|3132H3EE9|372000.00|372000.00|290643.61|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|232|128|155|155|999|654||||1|No|Refinance - No Cash Out|Investment Property|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000091|No|U9|U90133|3132H3EE9|226000.00|226000.00|176816.84|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|232|128|228|228|999|780||||1|No|Refinance - No Cash Out|Investment Property|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000097|No|U9|U90133|3132H3EE9|187000.00|187000.00|146324.96|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|232|128|156|156|41|545||||2|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|IL|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000106|No|U9|U90133|3132H3EE9|242000.00|242000.00|188137.78|Fixed|4.250|4.250|4.250|4.000|4.000|082012|072042|360|232|128|191|191|999|708||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|AZ|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|30|No||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000112|No|U9|U90133|3132H3EE9|258000.00|257000.00|199598.53|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|229|128|139|139|39|743||||2|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|WA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|25|No||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000114|No|U9|U90133|3132H3EE9|263000.00|263000.00|206169.37|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|232|128|159|159|56|807||||1|No|Refinance - No Cash Out|Investment Property|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000117|No|U9|U90133|3132H3EE9|217000.00|215000.00|166778.23|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|227|128|156|156|48|711||||2|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000121|No|U9|U90133|3132H3EE9|215000.00|215000.00|168500.55|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|232|128|138|138|41|727||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|CA|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|COVID-19 Payment Deferral|1|15000.00|NOT APPLICABLE|COLUMBUS|OH|JERSEY CITY|NJ|7
U90133000125|No|U9|U90133|3132H3EE9|149000.00|149000.00|116319.63|Fixed|4.375|4.375|4.375|4.000|4.000|082012|072042|360|232|128|130|130|40|684||||1|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|NJ|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|12|No||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
U90133000129|No|U9|U90133|3132H3EE9|80000.00|80000.00|62727.87|Fixed|4.500|4.500|4.500|4.000|4.000|082012|072042|360|232|128|232|232|38|487||||2|No|Refinance - No Cash Out|Primary Home|1|Single Family|Retail|MI|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|NATIONSTAR MORTGAGE, LLC|No MI|Not Applicable||No|No|||No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Current|||Not Available|Not Applicable|0|0.00|NOT APPLICABLE|COLUMBUS|OH|COPPELL|TX|7
